"","name","average.between","average.within","wb.ratio","widestgap","dunn2","avg.silwidth","within.cluster.ss","cluster.number","algorithm","season","stream","data"
"30","kmeans_LS_raw_sep_3cl",15.0414576090778,9.91722880997241,0.659326314491435,9.92698941136025,1.23026206057929,0.268659347580707,2664.62841616375,3,"kmeans","sep","LS","raw"
"31","kmeans_LS_raw_sep_4cl",14.6827941760161,8.99372088936808,0.612534697520927,7.47807981673926,1.3950556582322,0.314454480260771,2101.89095168586,4,"kmeans","sep","LS","raw"
"32","kmeans_LS_raw_sep_5cl",14.4066645710036,7.51689063732229,0.521764812408528,7.47807981673926,1.32150923344367,0.359051700866171,1545.95437118949,5,"kmeans","sep","LS","raw"
"33","kmeans_LS_growth_cont_2cl",8.13976638050498,8.33278616684816,1.02371318503753,6.4669368846538,0.944438865270249,-0.0234152536209694,2028.48434472534,2,"kmeans","cont","LS","growth"
"34","kmeans_LS_growth_cont_3cl",11.3243238007403,4.59371627755944,0.405650382167553,4.39039673577504,2.04714383740209,0.495062015240237,676.4637157423,3,"kmeans","cont","LS","growth"
"35","kmeans_LS_growth_cont_5cl",10.6079845253839,2.87084459705865,0.270630541568854,2.36428761718778,1.78712077513169,0.538181206739442,263.948488085496,5,"kmeans","cont","LS","growth"
"36","kmeans_LS_growth_s1_4cl",10.6664730917605,3.05437999808669,0.286353321459752,2.87825023172627,1.9150808624613,0.564501825113734,341.940191256145,4,"kmeans","s1","LS","growth"
"37","kmeans_LS_growth_s1_5cl",10.3521615869697,2.50941686205365,0.242405109403651,2.87825023172627,1.6528083771422,0.581124738841803,233.644592158529,5,"kmeans","s1","LS","growth"
"38","kmeans_LS_growth_s2_2cl",11.6247907570252,4.9967707312591,0.429837477138193,6.92321556113481,1.8471757720367,0.548471866168033,888.975470539535,2,"kmeans","s2","LS","growth"
"39","kmeans_LS_growth_s2_3cl",11.2573583159979,4.10871311392609,0.364980219923103,6.92321556113481,1.95465164818259,0.56087308103542,579.69287215914,3,"kmeans","s2","LS","growth"
"40","kmeans_LS_growth_s2_5cl",9.96735398050132,2.47777976230937,0.248589522069401,6.92321556113481,1.8302299511763,0.568221083430829,215.59652169334,5,"kmeans","s2","LS","growth"
"41","kmeans_LS_growth_sep_3cl",14.6039861158751,9.29753066377744,0.636643351343003,9.36990948647057,1.15292349205125,0.285462674281766,2371.92190201856,3,"kmeans","sep","LS","growth"
"42","kmeans_LS_growth_sep_5cl",14.2083364680646,7.34615811621929,0.517031542202768,8.64071355439702,1.27820529043236,0.337753565049102,1464.48967816334,5,"kmeans","sep","LS","growth"
"43","kmeans_C3_LS_raw_avg_s1_3cl",11.7048813211093,3.86929507545109,0.330571064268115,3.66670000456094,2.11769937364346,0.600304499844453,576.723626028901,3,"kmeans","s1","C3+LS","raw avg"
"44","kmeans_C3_LS_raw_avg_s1_5cl",10.589997268241,2.50297880614066,0.236353111595882,3.67553451316847,1.15179819513917,0.574427837559306,262.277194737431,5,"kmeans","s1","C3+LS","raw avg"
"45","kmeans_C3_LS_raw_diff_s1_5cl",11.0874902607148,2.51826881836083,0.22712703769252,3.14007059169233,1.70715730207703,0.604418611731935,214.464774564194,5,"kmeans","s1","C3+LS","raw diff"
"46","kmeans_C3_LS_raw_s1_3cl",16.2368742866787,6.54390864642574,0.403027610541678,10.6934113415422,1.73199486899917,0.520070145068102,1457.23602679263,3,"kmeans","s1","C3+LS","raw"
"47","kmeans_C3_LS_raw_s1_5cl",14.7765585971135,4.73527104685463,0.320458313465467,13.1328212223782,0.779812461617051,0.461785113686227,824.916643348662,5,"kmeans","s1","C3+LS","raw"
"48","kmeans_C3_LS_growth_avg_s1_4cl",10.6150364338327,3.2246554963225,0.303781858538397,2.95808069126805,1.98319212222703,0.554905977273743,363.457517030295,4,"kmeans","s1","C3+LS","growth avg"
"49","kmeans_C3_LS_growth_avg_s1_5cl",10.2633680765688,2.55768766382305,0.249205489342453,2.95808069126805,1.83145694911396,0.579941717365365,231.419238447918,5,"kmeans","s1","C3+LS","growth avg"
"50","kmeans_C3_LS_growth_diff_s1_3cl",11.1944803255463,4.73230438583232,0.422735513236197,3.51098234364351,2.00685854439242,0.493950462517791,712.70377052067,3,"kmeans","s1","C3+LS","growth diff"
"51","kmeans_C3_LS_growth_diff_s1_4cl",10.8823575674273,3.65326616933065,0.335705397171059,3.03085057312201,1.82573299829359,0.530127917876803,413.814248323138,4,"kmeans","s1","C3+LS","growth diff"
"52","kmeans_C3_LS_growth_diff_s1_5cl",10.6318505676733,2.65908461764527,0.250105529674238,2.67244511535375,2.17074707482795,0.606280554690595,216.603988782112,5,"kmeans","s1","C3+LS","growth diff"
"53","kmeans_C3_LS_growth_s1_4cl",15.0773355711172,5.45454137967191,0.361770907992582,8.00014046223482,1.91538575333536,0.482304576205197,908.488950558436,4,"kmeans","s1","C3+LS","growth"
