"","Show_Name","Season_num","avg_C3","avg_LS","correlation","higher_imps","unique_DOWs_total","unique_starts_total","unique_DOWs_season","unique_starts_season","change_DOW_overall","change_start_overall","change_DOW_season","change_start_season","C3_raw_cluster","C3_growth_cluster","LS_raw_cluster","LS_growth_cluster","raw_growth_C3_cluster","raw_growth_LS_cluster","C3_LS_raw_cluster","C3_LS_raw_diff_cluster","C3_LS_raw_avg_cluster","C3_LS_growth_cluster","C3_LS_growth_diff_cluster","C3_LS_growth_avg_cluster"
"63","MARRIED TO MED ATL",1,988155.226491476,1055087.3618306,0.991372289547048,"LS",1,3,1,2,"No","Yes","No","Yes",4,2,3,2,5,5,5,3,5,5,5,5
"64","MARRIED TO MED ATL",2,924438.583676447,947087.185714286,0.993245844475534,"LS",1,3,1,3,"No","Yes","No","Yes",4,2,3,2,5,5,5,3,5,5,5,5
"65","MR ROBOT",1,823582.3366989,608954.261318194,0.85572090280257,"C3",1,1,1,1,"No","No","No","No",2,2,4,2,2,2,2,2,1,5,4,5
"66","MR ROBOT",2,508642.534164935,378189.894655941,0.829210137448597,"C3",1,1,1,1,"No","No","No","No",2,2,4,2,2,2,2,2,1,5,4,5
"67","NEWLYWEDS 1ST YEAR",1,612978.307410819,613009.487260929,0.891123061751816,"LS",2,2,1,1,"Yes","Yes","No","No",5,4,1,4,3,1,3,5,2,3,2,3
"68","NEWLYWEDS 1ST YEAR",2,313694.442586454,290771.931111111,0.784303366143572,"C3",2,2,1,2,"Yes","Yes","No","Yes",5,4,1,4,3,1,3,5,2,3,2,3
"69","ODD MOM OUT",1,440594.2,373542.113655914,0.879418821720841,"C3",1,2,1,2,"No","Yes","No","Yes",2,1,4,5,1,3,2,3,1,4,4,4
"70","ODD MOM OUT",2,343028.3,276311.246021505,0.795231007406264,"C3",1,2,1,2,"No","Yes","No","Yes",2,1,4,5,1,3,2,3,1,4,4,4
"71","PEOPLES COUCH",1,249068.870284308,285831.528265678,0.956240807346205,"LS",3,4,3,3,"Yes","Yes","Yes","Yes",5,2,2,1,4,1,4,2,4,1,1,1
"72","PEOPLES COUCH",2,302100.950023539,326199.4375,0.888847202392398,"LS",3,4,1,2,"Yes","Yes","No","Yes",5,2,2,1,4,1,4,2,4,1,1,1
"73","PLAYING HOUSE",1,516108.243307283,496939.125913978,0.944359792363675,"C3",1,2,1,2,"No","Yes","No","Yes",3,4,2,4,3,4,4,3,4,3,3,3
"74","PLAYING HOUSE",2,232741.814173296,224527.431451613,0.896368905058555,"C3",1,2,1,2,"No","Yes","No","Yes",3,4,2,4,3,4,4,3,4,3,3,3
"75","RICHKIDS OF BH",1,569597.172966781,591987.722222222,0.989026352609384,"LS",2,2,2,1,"Yes","Yes","Yes","No",4,4,3,4,3,4,5,5,5,3,2,3
"76","RICHKIDS OF BH",2,590874.9,570970.096666667,0.958977855780896,"C3",2,2,2,2,"Yes","Yes","Yes","Yes",4,4,3,4,3,4,5,5,5,3,2,3
"77","ROYALS",1,810977.72787793,636558.871624441,0.724590490649667,"C3",1,1,1,1,"No","No","No","No",5,3,1,5,4,1,3,5,2,4,2,4
"78","ROYALS",2,552147.470783633,424862.269672131,0.903939808606308,"C3",1,1,1,1,"No","No","No","No",5,3,1,5,4,1,3,5,2,4,2,4
"79","SATISFACTION",1,596845.015744691,515076.612523866,0.913720218598574,"C3",2,1,1,1,"Yes","No","No","No",1,2,5,1,2,3,1,4,3,1,2,1
"80","SATISFACTION",2,242465.38527654,245214.537969328,0.965270403963103,"LS",2,1,1,1,"Yes","No","No","No",1,2,5,1,2,3,1,4,3,1,2,1
"81","SIRENS",1,646856.555555556,557459.31114098,0.890598026235201,"C3",2,2,1,2,"Yes","Yes","No","Yes",5,3,1,1,4,1,3,5,2,4,5,1
"82","SIRENS",2,474065.615384615,432910.436724566,0.903075160695929,"C3",2,2,1,2,"Yes","Yes","No","Yes",5,3,1,1,4,1,3,5,2,4,5,1
"83","SOUTHERN CHARM",1,598319.158347504,570540.014583333,0.960213293914843,"C3",1,2,1,1,"No","Yes","No","No",5,3,1,5,4,1,3,1,2,4,2,4
"84","SOUTHERN CHARM",2,691881.543210591,560539.948484849,0.713776076755805,"C3",1,2,1,2,"No","Yes","No","Yes",5,3,1,5,4,1,3,1,2,4,2,4
"85","STUDIO E",1,135545.375,158834,0.988796244870819,"LS",4,2,1,1,"Yes","Yes","No","No",2,4,4,4,1,3,2,1,1,3,5,3
"86","STUDIO E",2,172550.808510638,193408.531914894,0.973776998234483,"LS",4,2,4,2,"Yes","Yes","Yes","Yes",2,4,4,4,1,3,2,1,1,3,5,3
"87","THICKER THN WATER",1,961624.843585146,997758.9375,0.988952454478193,"LS",1,3,1,2,"No","Yes","No","Yes",5,2,1,5,4,1,3,1,2,1,1,1
"88","THICKER THN WATER",2,801351.265815626,848585.277777778,0.987175371499602,"LS",1,3,1,2,"No","Yes","No","Yes",5,2,1,5,4,1,3,1,2,1,1,1
"89","TOTAL DIVAS",1,825285.478853471,836830.619565217,0.912827793090101,"LS",1,2,1,1,"No","Yes","No","No",2,5,4,3,2,2,2,1,1,2,1,2
"90","TOTAL DIVAS",2,764179.439313358,748803,0.94667873426415,"C3",1,2,1,1,"No","Yes","No","No",2,5,4,3,2,2,2,1,1,2,1,2
"91","TROY STREET MAGIC",1,250955.69696196,255276.916666667,0.952816791050548,"LS",1,2,1,1,"No","Yes","No","No",1,1,5,5,1,3,1,1,3,4,2,4
"92","TROY STREET MAGIC",2,157845.4992073,157811.87704918,0.974166083578338,"C3",1,2,1,2,"No","Yes","No","Yes",1,1,5,5,1,3,1,1,3,4,2,4
"93","UNTYING KNOT",1,359954.666666667,378611.316666667,0.990873101525126,"LS",3,1,1,1,"Yes","No","No","No",4,5,3,3,5,5,5,3,5,2,3,2
"94","UNTYING KNOT",2,335263.758986838,344186.316666667,0.998737919801431,"LS",3,1,3,1,"Yes","No","Yes","No",4,5,3,3,5,5,5,3,5,2,3,2
"95","VANDERPUMP RULES",1,854240.484639942,896244.738095238,0.857162990420272,"LS",1,2,1,2,"No","Yes","No","Yes",3,3,3,5,3,4,5,1,5,4,1,4
"96","VANDERPUMP RULES",2,849630.918247428,874191.060389142,0.96896043832633,"LS",1,2,1,1,"No","Yes","No","No",3,3,3,5,3,4,5,1,5,4,1,4
"97","WAGS",1,483199.468460374,351162.5625,0.264543170268506,"C3",2,1,1,1,"Yes","No","No","No",4,4,2,4,3,4,5,2,5,3,3,3
"98","WAGS",2,435535.761947175,394873.543785311,0.954038433462521,"C3",2,1,1,1,"Yes","No","No","No",4,4,2,4,3,4,5,2,5,3,3,3
"99","Z NATION",1,650222.37777718,610766.239596469,0.924099748945524,"C3",1,1,1,1,"No","No","No","No",1,1,5,5,1,1,1,2,3,4,2,4
"100","Z NATION",2,489081.12700618,419637.466666667,0.865642559547729,"C3",1,1,1,1,"No","No","No","No",1,1,5,5,1,1,1,2,3,4,2,4
